species,image_slot,image_id,source,image_url,license,photographer_or_observer,date_accessed,image_downloaded,usable,exclusion_reason,animal_clear,background_clear,notes
Doriprismatica atromarginata,10,Doriprismatica_atromarginata_10,iNaturalist,https://www.inaturalist.org/observations/370026527,CC BY-NC,cr1970,2026/6/18,no,yes,,yes,partial,Research grade; black margin clearly visible; animal mostly clear; close-up image; dark background; observation from Indonesia
Hypselodoris bennetti,1,Hypselodoris_bennetti_01,iNaturalist,https://www.inaturalist.org/observations/371930850,CC BY-NC,Harry Rosenthal,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal mostly visible; purple margin, yellow line and red spots visible; background visible; slightly green underwater colour cast"
Hypselodoris bennetti,2,Hypselodoris_bennetti_02,iNaturalist,https://www.inaturalist.org/observations/369667039,CC BY-NC,Peter,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible; blue-purple body, yellow/orange mantle edge and red spots visible; background visible; image slightly soft but still usable"
Hypselodoris bennetti,3,Hypselodoris_bennetti_03,iNaturalist,https://www.inaturalist.org/observations/368868718,CC BY-NC,hurlza95,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible; purple margin, yellow line and red spots clearly visible; background visible; strong colour contrast"
Hypselodoris bennetti,4,Hypselodoris_bennetti_04,iNaturalist,https://www.inaturalist.org/observations/360526342,CC BY-NC,Erik Schlögl,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal mostly visible; purple margin, yellow line and red spots clearly visible; background visible; some sediment/particles on body"
Hypselodoris bennetti,5,Hypselodoris_bennetti_05,iNaturalist,https://www.inaturalist.org/observations/350656519,CC BY-NC,knealepw,2026/6/18,no,yes,,yes,partial,"Research grade; animal clear; purple margin, yellow line and red spots clearly visible; close-up image; background partly visible"
Hypselodoris bennetti,6,Hypselodoris_bennetti_06,iNaturalist,https://www.inaturalist.org/observations/346953419,CC BY-NC,sue_churchill / Sue Churchill,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible; purple margin, yellow line and red spots clearly visible; background visible"
Hypselodoris bennetti,7,Hypselodoris_bennetti_07,iNaturalist,https://www.inaturalist.org/observations/345026801,CC BY,nikihubbard / Niki Hubbard,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible; blue body, yellow margin line and red spots clearly visible; background visible"
Hypselodoris bennetti,8,Hypselodoris_bennetti_08,iNaturalist,https://www.inaturalist.org/observations/340909989,CC BY-NC,Harry Rosenthal,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal clearly visible in dorsal view; blue body, yellow margin and red spots clearly visible; suitable for colour-pattern extraction"
Hypselodoris bennetti,9,Hypselodoris_bennetti_09,iNaturalist,https://www.inaturalist.org/observations/338865139,CC BY-NC,gemstarz,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal clearly visible; blue body, yellow/orange margin and red/pink spots clearly visible; suitable for colour-pattern extraction"
Hypselodoris bennetti,10,Hypselodoris_bennetti_10,iNaturalist,https://www.inaturalist.org/observations/336800183,CC BY-NC,Felix Harper,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal mostly visible in side view; pale blue-white body, yellow/orange mantle edge, and pink/red spots clearly visible; suitable for colour-pattern extraction"
Phyllidia ocellata,1,Phyllidia_ocellata_01,iNaturalist,https://www.inaturalist.org/observations/372509282,CC BY-NC,Terry Farr,2026/6/18,no,yes,,yes,yes,"Research grade; selected the clearer second photo from this observation; whole animal visible; yellow body, white tubercles and dark ocellated spots clearly visible; background visible"
Phyllidia ocellata,2,Phyllidia_ocellata_02,iNaturalist,https://www.inaturalist.org/observations/371871668,CC BY-NC,meet_me_underwater / Jack Breedon,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible; yellow body, white tubercles and dark ocellated spots clearly visible; background visible"
Phyllidia ocellata,3,Phyllidia_ocellata_03,iNaturalist,https://www.inaturalist.org/observations/371862492,CC BY-NC,maltesellin / Malte Sellin,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible in dorsal view; yellow body, white tubercles and dark ocellated spots clearly visible; background visible"
Phyllidia ocellata,4,Phyllidia_ocellata_04,iNaturalist,https://www.inaturalist.org/observations/370277925,CC BY-NC,cr1970,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible in dorsal view; yellow body, white tubercles and dark ocellated spots clearly visible; background visible"
Phyllidia ocellata,5,Phyllidia_ocellata_05,iNaturalist,https://www.inaturalist.org/observations/369647627,CC BY-NC,shuchen_huang ,2026/6/18,no,yes,,yes,yes,"Research grade; two individuals visible; main larger animal clear; yellow body, white tubercles and dark ocellated spots clearly visible; background visible"
Phyllidia ocellata,6,Phyllidia_ocellata_06,iNaturalist,https://www.inaturalist.org/observations/369638987,CC BY,quokka2 / Debra Baker,2026/6/18,no,yes,,yes,yes,Research grade; whole animal visible in dorsal view; yellow body and dark ocellated spots clearly visible; background visible; image has strong colour contrast
Phyllidia ocellata,7,Phyllidia_ocellata_07,iNaturalist,https://www.inaturalist.org/observations/367653640,CC BY-NC,maltesellin / Malte Sellin,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible; yellow body, white tubercles and dark ocellated spots visible; background visible; dorsal surface mostly clear"
Phyllidia ocellata,8,Phyllidia_ocellata_08,iNaturalist,https://www.inaturalist.org/observations/369616934,CC BY-NC,r_lai / R Lai,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible but relatively small in the image; yellow/orange body, white tubercles and dark ocellated spots visible; background visible; usable as backup image"
Phyllidia ocellata,9,Phyllidia_ocellata_09,iNaturalist,https://www.inaturalist.org/observations/361153380,CC BY-NC,poseidon_photography / Andy,2026/6/18,no,yes,,yes,yes,"Research grade; two individuals visible; both animals clear; yellow/orange body, white tubercles and dark ocellated spots clearly visible; background visible"
Phyllidia ocellata,10,Phyllidia_ocellata_10,iNaturalist,https://www.inaturalist.org/observations/360125653,CC BY-NC,thormainz,2026/6/18,no,yes,,yes,yes,"Research grade; whole animal visible; orange/yellow body, white tubercles and dark ocellated spots clearly visible; background visible; good quality image"
Phyllidiella pustulosa,1,Phyllidiella_pustulosa_01,iNaturalist,https://www.inaturalist.org/observations/368293079,CC BY-NC,suzie_molloy,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported 2/2; whole animal visible; dorsal pattern and tubercles clear; image slightly dark/blue-toned but suitable for pilot
Phyllidiella pustulosa,2,Phyllidiella_pustulosa_02,iNaturalist,https://www.inaturalist.org/observations/364933098,CC BY-NC,mayamegret,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported 2/2; whole animal visible; dorsal tubercles and dark pattern visible; image is blue-toned and slightly dark but suitable for pilot
Phyllidiella pustulosa,3,Phyllidiella_pustulosa_03,iNaturalist,https://www.inaturalist.org/observations/364727952,CC BY-NC,blurryfishclub / Jade,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported 2/2; animal large and clearly visible; pink/purple tubercles and dark body pattern clearly visible; good quality image suitable for pilot
Phyllidiella pustulosa,4,Phyllidiella_pustulosa_04,iNaturalist,https://www.inaturalist.org/observations/361851921,CC BY-NC,dianna912,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported; selected the second photo from this observation because it is brighter and shows the pink tubercles and dark body pattern more clearly; first photo from the same observation was not used to avoid duplicate sampling from the same individual
Phyllidiella pustulosa,5,Phyllidiella_pustulosa_05,iNaturalist,https://www.inaturalist.org/observations/360961496,CC BY-NC,sophieg / Sophie Paradis,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported 3/3; animal visible and dorsal tubercles/pattern can be seen; image is slightly small and blue-toned but suitable for pilot
Phyllidiella pustulosa,6,Phyllidiella_pustulosa_06,iNaturalist,https://www.inaturalist.org/observations/359106678,CC BY-NC,sophieg / Sophie Paradis,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported 3/3; animal visible and dorsal tubercles/pattern can be seen; image is blue-toned and slightly dark but suitable for pilot; same observer as another usable image but from a different observation
Phyllidiella pustulosa,7,Phyllidiella_pustulosa_07,iNaturalist,https://www.inaturalist.org/observations/356762791,CC BY-NC,ellapennington,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported 2/2; animal visible and dorsal tubercles/pattern can be seen; image has high contrast and slight blue/green colour cast but is suitable for pilot
Phyllidiella pustulosa,8,Phyllidiella_pustulosa_08,iNaturalist,https://www.inaturalist.org/observations/356463696,CC BY-NC,slbailly,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported 2/2; animal clearly visible with dorsal tubercles and dark body pattern; background visible; image is slightly dark/blue-toned but suitable for pilot
Phyllidiella pustulosa,9,Phyllidiella_pustulosa_09,iNaturalist,https://www.inaturalist.org/observations/343994104,CC BY-NC,Sylvain Le Bris,2026/6/18,no,yes,,yes,yes,Research grade; species-level ID supported; animal clearly visible with dorsal tubercles and dark body pattern; background visible; image is slightly blue-toned but suitable for pilot
Phyllidiella pustulosa,10,Phyllidiella_pustulosa_10,iNaturalist,https://www.inaturalist.org/observations/355163508,CC BY-NC,Wayne and Pam Osborn,2026/6/18,no,yes,,yes,yes,"Research grade; species-level ID supported 2/2; animal large and clearly visible with dorsal tubercles and dark body pattern; background visible but relatively dark; side angle rather than full dorsal view, but suitable for pilot"
